iid,gender,wave,round,age,race,dec,like,prob,met,match,satis_2,length,numdat_2,samerace,match_es,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2
1,0,1,10,21.0,4.0,1,7.0,6.0,2.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,7.0,5.0,1.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,7.0,,1.0,1,6.0,2.0,1.0,1,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,7.0,6.0,2.0,1,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,6.0,6.0,2.0,1,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,0,6.0,5.0,2.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,6.0,5.0,2.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,0,6.0,7.0,2.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,7.0,7.0,2.0,1,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
1,0,1,10,21.0,4.0,1,6.0,6.0,2.0,0,6.0,2.0,1.0,0,4.0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
2,0,1,10,24.0,2.0,0,6.0,4.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,0,7.0,3.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,0,6.0,7.0,2.0,0,5.0,2.0,,0,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,1,7.0,8.0,2.0,1,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,0,8.0,6.0,1.0,0,5.0,2.0,,0,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,0,6.0,5.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,1,8.0,7.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,0,5.0,6.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,1,5.0,6.0,2.0,1,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
2,0,1,10,24.0,2.0,1,8.0,7.0,2.0,0,5.0,2.0,,1,3.0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,1.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,0,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,9.0,,2.0,0,,,,0,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,9.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
3,0,1,10,25.0,2.0,0,8.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
4,0,1,10,23.0,2.0,0,6.0,7.0,2.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,8.0,1.0,1.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,4.0,1.0,2.0,0,4.0,3.0,2.0,0,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,1,8.0,10.0,1.0,1,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,7.0,7.0,2.0,0,4.0,3.0,2.0,0,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,4.0,3.0,2.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,5.0,1.0,2.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,0,6.0,6.0,2.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,1,8.0,8.0,2.0,1,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
4,0,1,10,23.0,2.0,1,10.0,8.0,2.0,0,4.0,3.0,2.0,1,2.0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
5,0,1,10,21.0,2.0,0,7.0,5.0,2.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
