iid,gender,wave,round,age,race,dec,like,prob,met,match,samerace,match_es,you_call,them_cal,date_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3
1,0,1,10,21.0,4.0,1,7.0,6.0,2.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,7.0,5.0,1.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,7.0,,1.0,1,1,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,7.0,6.0,2.0,1,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,6.0,6.0,2.0,1,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,0,6.0,5.0,2.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,6.0,5.0,2.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,0,6.0,7.0,2.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,7.0,7.0,2.0,1,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
1,0,1,10,21.0,4.0,1,6.0,6.0,2.0,0,0,4.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,
2,0,1,10,24.0,2.0,0,6.0,4.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,0,7.0,3.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,0,6.0,7.0,2.0,0,0,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,1,7.0,8.0,2.0,1,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,0,8.0,6.0,1.0,0,0,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,0,6.0,5.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,1,8.0,7.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,0,5.0,6.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,1,5.0,6.0,2.0,1,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
2,0,1,10,24.0,2.0,1,8.0,7.0,2.0,0,1,3.0,0.0,0.0,0.0,30.0,5.0,40.0,15.0,0.0,10.0,,,,,,
4,0,1,10,23.0,2.0,0,6.0,7.0,2.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,8.0,1.0,1.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,4.0,1.0,2.0,0,0,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,1,8.0,10.0,1.0,1,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,7.0,7.0,2.0,0,0,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,4.0,3.0,2.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,5.0,1.0,2.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,0,6.0,6.0,2.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,1,8.0,8.0,2.0,1,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
4,0,1,10,23.0,2.0,1,10.0,8.0,2.0,0,1,2.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,,,,,,
5,0,1,10,21.0,2.0,0,7.0,5.0,2.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,0,6.0,4.0,1.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,0,6.0,5.0,1.0,0,0,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,8.0,2.0,1.0,1,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,0,7.0,4.0,2.0,0,0,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,7.0,3.0,2.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,6.0,3.0,2.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,6.0,4.0,2.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,9.0,4.0,2.0,1,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
5,0,1,10,21.0,2.0,1,10.0,3.0,2.0,0,1,,0.0,0.0,0.0,30.0,10.0,20.0,20.0,10.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,7.0,2.0,2.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,5.0,2.0,1.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,6.0,3.0,2.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,6.0,5.0,2.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,6.0,4.0,2.0,0,0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
11,1,1,10,27.0,2.0,0,6.0,3.0,2.0,0,1,0.0,0.0,0.0,0.0,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,2.0,1,0,,1.0,1.0,0.0,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,
14,1,1,10,23.0,2.0,1,9.0,7.0,2.0,1,1,,1.0,1.0,0.0,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,
